Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),US Domestic Average (Current $),US Domestic Average (Inflation-Adjusted $)
"1995","1","296.90","512.38","296.90","512.38"
"1995","2","296.80","507.73","296.80","507.73"
"1995","3","287.51","489.70","287.51","489.70"
"1995","4","287.78","487.80","287.78","487.80"
"1996","1","283.97","477.00","283.97","477.00"
"1996","2","275.78","458.70","275.78","458.70"
"1996","3","269.49","445.87","269.49","445.87"
"1996","4","278.33","457.20","278.33","457.20"
"1997","1","283.40","462.43","283.40","462.43"
"1997","2","289.44","470.41","289.44","470.41"
"1997","3","282.27","456.95","282.27","456.95"
"1997","4","293.51","473.29","293.51","473.29"
"1998","1","304.74","490.08","304.74","490.08"
"1998","2","300.97","481.44","300.97","481.44"
"1998","3","315.25","502.33","315.25","502.33"
"1998","4","316.18","502.07","316.18","502.07"
"1999","1","331.74","524.75","331.74","524.75"
"1999","2","329.34","515.93","329.34","515.93"
"1999","3","317.22","493.88","317.22","493.88"
"1999","4","317.93","491.95","317.93","491.95"
"2000","1","340.23","521.28","340.23","521.28"
"2000","2","339.16","514.20","339.16","514.20"
"2000","3","336.66","506.38","336.66","506.38"
"2000","4","340.08","508.78","340.08","508.78"
"2001","1","347.69","515.22","347.69","515.22"
"2001","2","328.67","482.01","328.67","482.01"
"2001","3","303.02","443.82","303.02","443.82"
"2001","4","299.81","440.35","299.81","440.35"
"2002","1","320.02","468.36","320.02","468.36"
"2002","2","317.93","460.30","317.93","460.30"
"2002","3","303.30","437.26","303.30","437.26"
"2002","4","308.85","443.87","308.85","443.87"
"2003","1","319.19","454.12","319.19","454.12"
"2003","2","314.52","445.86","314.52","445.86"
"2003","3","312.39","440.68","312.39","440.68"
"2003","4","315.77","445.37","315.77","445.37"
"2004","1","320.23","447.62","320.23","447.62"
"2004","2","309.45","426.44","309.45","426.44"
"2004","3","296.54","407.21","296.54","407.21"
"2004","4","297.28","405.81","297.28","405.81"
"2005","1","301.39","408.84","301.39","408.84"
"2005","2","306.68","410.54","306.68","410.54"
"2005","3","305.91","404.58","305.91","404.58"
"2005","4","314.76","414.18","314.76","414.18"
"2006","1","323.34","423.18","323.34","423.18"
"2006","2","341.58","439.62","341.58","439.62"
"2006","3","330.12","422.51","330.12","422.51"
"2006","4","318.16","410.70","318.16","410.70"
"2007","1","317.84","406.03","317.84","406.03"
"2007","2","325.39","407.96","325.39","407.96"
"2007","3","327.56","409.56","327.56","409.56"
"2007","4","329.77","409.41","329.77","409.41"
"2008","1","333.29","409.14","333.29","409.14"
"2008","2","346.99","416.80","346.99","416.80"
"2008","3","358.93","426.18","358.93","426.18"
"2008","4","345.42","422.08","345.42","422.08"
"2009","1","313.82","385.38","313.82","385.38"
"2009","2","301.82","366.76","301.82","366.76"
"2009","3","306.95","370.48","306.95","370.48"
"2009","4","319.85","385.28","319.85","385.28"
"2010","1","328.12","393.65","328.12","393.65"
"2010","2","340.72","406.84","340.72","406.84"
"2010","3","339.71","405.26","339.71","405.26"
"2010","4","334.78","398.19","334.78","398.19"
"2011","1","355.72","417.82","355.72","417.82"
"2011","2","369.68","426.77","369.68","426.77"
"2011","3","360.74","414.76","360.74","414.76"
"2011","4","368.39","424.20","368.39","424.20"
"2012","1","372.83","423.80","372.83","423.80"
"2012","2","384.67","436.46","384.67","436.46"
"2012","3","366.97","413.55","366.97","413.55"
"2012","4","374.23","422.94","374.23","422.94"
"2013","1","378.33","425.06","378.33","425.06"
"2013","2","378.46","422.92","378.46","422.92"
"2013","3","391.64","436.00","391.64","436.00"
"2013","4","388.13","433.30","388.13","433.30"
"2014","1","387.37","429.19","387.37","429.19"
"2014","2","402.22","440.44","402.22","440.44"
"2014","3","399.25","436.68","399.25","436.68"
"2014","4","395.36","435.93","395.36","435.93"
"2015","1","390.13","432.51","390.13","432.51"
"2015","2","388.78","425.88","388.78","425.88"
"2015","3","374.11","408.73","374.11","408.73"
"2015","4","365.39","401.01","365.39","401.01"
"2016","1","359.47","394.26","359.47","394.26"
"2016","2","351.57","381.13","351.57","381.13"
"2016","3","349.11","377.21","349.11","377.21"
"2016","4","346.72","373.79","346.72","373.79"
"2017","1","349.44","373.77","349.44","373.77"
"2017","2","355.91","378.64","355.91","378.64"
"2017","3","335.83","355.86","335.83","355.86"
"2017","4","347.33","366.69","347.33","366.69"
"2018","1","346.49","362.58","346.49","362.58"
"2018","2","349.17","361.51","349.17","361.51"
"2018","3","343.28","354.40","343.28","354.40"
"2018","4","359.30","371.14","359.30","371.14"
"2019","1","350.12","360.46","350.12","360.46"
"2019","2","357.10","363.29","357.10","363.29"
"2019","3","345.09","350.11","345.09","350.11"
"2019","4","356.51","360.93","356.51","360.93"
"2020","1","336.13","338.87","336.13","338.87"
"2020","2","259.17","262.70","259.17","262.70"
"2020","3","244.79","245.35","244.79","245.35"
"2020","4","260.79","260.79","260.79","260.79"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
